subject_name,course_name,absolute_course_url
Art & Design Courses,微影人的自我修养,https://www.classcentral.com/course/microfilmer-2706
Art & Design Courses,Producción Musical y su Efecto en la Composición,https://www.classcentral.com/course/produccionycomposicion-4718
Art & Design Courses,Introducción a la guitarra,https://www.classcentral.com/course/guitarra-4763
Art & Design Courses,Entender el diseño,https://www.classcentral.com/course/entender-diseno-4819
Art & Design Courses,Ignite Your Everyday Creativity,https://www.classcentral.com/course/creative-3139
Art & Design Courses,The Art of Music Production,https://www.classcentral.com/course/producing-music-6350
Art & Design Courses,The Technology of Music Production,https://www.classcentral.com/course/technology-of-music-production-6351
Art & Design Courses,Composição: Escrevendo a letra,https://www.classcentral.com/course/composicao-escrevendo-letra-9457
Art & Design Courses,Improvisação no Jazz,https://www.classcentral.com/course/improvisacao-no-jazz-9458
Art & Design Courses,Desenvolvendo sua musicalidade,https://www.classcentral.com/course/desenvolvendo-musicalidade-9459
Art & Design Courses,"Photography Techniques: Light, Content, and Sharing",https://www.classcentral.com/course/photography-techniques-6478
Art & Design Courses,"Musicianship: Chord Charts, Diatonic Chords, and Minor Keys",https://www.classcentral.com/course/musicianship-chords-7050
Art & Design Courses,Creatividad computacional,https://www.classcentral.com/course/creatividad-computacional-12450
Art & Design Courses,Grabación y postproducción musical dentro y fuera del estudio,https://www.classcentral.com/course/grabacion-musical-12415
Art & Design Courses,Audio digital con Pure Data,https://www.classcentral.com/course/audio-digital-pure-data-12422
Art & Design Courses,Tecnología musical con software libre: Proyecto final,https://www.classcentral.com/course/tecnologia-musical-proyecto-12429
Art & Design Courses,An Introduction to Accessibility and Inclusive Design,https://www.classcentral.com/course/accessibility-13860
Art & Design Courses,Graphic Elements of Design: Color Theory and Image Formats,https://www.classcentral.com/course/graphic-elements-design-13824
Art & Design Courses,"Textual Elements of Design: Fonts, Typography, and Spacing",https://www.classcentral.com/course/fonts-typography-spacing-13825
Art & Design Courses,Basic Elements of Design: Design Principles and Software Overview,https://www.classcentral.com/course/basic-elements-design-13826
Art & Design Courses,Introduction to Programming and Animation with Alice,https://www.classcentral.com/course/introtoalice-18076
Art & Design Courses,Getting Your Film off the Ground,https://www.classcentral.com/course/film-off-ground-15230
Art & Design Courses,Teaching Popular Music in the Classroom,https://www.classcentral.com/course/teaching-popular-music-18056
Art & Design Courses,A Scientific Approach to Innovation Management,https://www.classcentral.com/course/scientific-approach-innovation-managemen-13223
Art & Design Courses,Exploring Beethoven's Piano Sonatas Part 5,https://www.classcentral.com/course/exploring-beethoven-piano-sonatas-5-16976
Art & Design Courses,Integrated Digital Media Capstone,https://www.classcentral.com/course/edx-integrated-digital-media-capstone-13441
Art & Design Courses,Iniciación a la producción de cine: diseña tu propio proyecto,https://www.classcentral.com/course/miriadax-iniciacion-a-la-produccion-de-cine-disena-tu-propio-proyecto-20442
Art & Design Courses,Векторная графика. Adobe Illustrator CC,https://www.classcentral.com/course/adobe-illustrator-cc-21006
Art & Design Courses,How to Make Image Editing Selections in GIMP,https://www.classcentral.com/course/how-to-make-image-editing-selections-in-gimp-21053
Art & Design Courses,Design a Client Welcome Kit using Canva,https://www.classcentral.com/course/design-a-client-welcome-kit-using-canva-21048
Art & Design Courses,Художественное проектирование сайта,https://www.classcentral.com/course/art-site-engineering-21325
Art & Design Courses,Guitar Chord Voicings: Playing Up The Neck,https://www.classcentral.com/course/guitar-chords-20106
Art & Design Courses,Digital Design,https://www.classcentral.com/course/edx-digital-design-17251
Art & Design Courses,La musique au-delà du numérique,https://www.classcentral.com/course/france-universite-numerique-la-musique-au-dela-du-numerique-12303
Art & Design Courses,Sexing the Canvas: Art and Gender,https://www.classcentral.com/course/sexingthecanvas-4053
